spelunking	спелеология
scuba diving	подводное плавание с аквалангом
scale model building	построение масштабной модели
fencing	фехтование
blacksmithing	кузнечное дело
bungee jumping	прыжок с тарзанки
embroidery	вышивка
beekeeping	пчеловодство
belly dancing	танец живота
mountain biking	катание на горных велосипедах
hot air ballooning	полет на воздушном шаре
crocheting	вязание крючком
hiking	поход
martial arts	боевые искусства
crossing deserts	пересечение пустынь
snorkeling	подводное плавание с трубкой
backpacking	пеший поход
jigsaw	лобзик
completing jigsaw puzzle	собирать пазлы
wood carving	резьба по дереву
home brewing	пивоварение
hang-gliding	дельтапланеризм
nuisance	зануда
charity fundraiser	благотворительный сбор средств
fundraiser	специалист по привлечению средств
chatterbox	болтун
gloomy	мрачный
untidy	неопрятный
buckweat	гречка
cherish	дорожить
short of work	сокращение на работе
crunch	кризис
take advantage of	воспользоваться, извлечь пользу
bare	голый
naked	голый
impact	влияние
influence	влияние
sustainable	выдержать, устойчивый
self-sufficient	самостоятельный
enthralled	увлеченный, очарованный
charmed	очарованный
fascinated	очарованный
next-to-no money	без денег
rake	прочесать
gear	механизм
abode	жилище
embarked	приступили к
spin	крутиться
arrangement	договоренность
topsy-turvy	шиворот-навыворот
coincide	совпадать
hideway	убежище
shelter	убежище
haven	убежище
astounded	пораженный, изумленный
chart	наметить, составлять схему
captured	захваченный
besieged	осажденный
hardship	трудности, неприятности
entitle	озаглавливать
jobless	безработный
disillusioned	разочарованный
spirituality	духовность
span	охватывать
congested	переполненный
steady	постоянный
the pleasure is mine	взаимно
astonished	изумленный
astounded	изумленный
amazed	изумленный
streamline	рационализировать
knot	узел
sustain	выдержать, перенести
ado	суета
star-struck	звездная болезнь
hassle	препятствие
impatient	нетерпеливый
abuse	злоупотреблять
abandoned	заброшенный
toil	тяжелый труд
attitude	отношение
litigation	судебный процесс
spirituality	духовность
controversy	спор, дискуссия
deceptive	обманчивый
deciving	обманчивый
misleading	обманчивый
scrutiny	внимательное изучение
commodity	товар, предмет потребления
appeal	призыв
attorney	адвокат
basement	подвал
own	владеть
possess	владеть
featured	прославленный
memorabilia	предметы коллекционирования
spanning	включая
ardor	страсть
ardent	страсть
passion	страсть
brag	хвастаться
boast	хвастаться
dweller	житель
rubber	резиновый
fewer	меньше
confess	признавать
key chain	брелок
purchase	покупать
gunner	наводчик
reel	катушка
acknowledge	признавать
reference book	справочник
row	спор
quarrel	ссора
argument	спор
beaver	бобер
game	дичь
endurance	выносливость, стойкость, протяженность
harm	вред
damage	ущерб
commissioned	получивший поручение
expence	цена
expose	показывать
consern	беспокойство
bound	граница
settle	урегулировать
numerous	многочисленный
consume	потреблять
dodgy	хитроумный
